,Efficiency
0,0.0
1,0.78
2,2.25
3,2.33
4,6.17
5,9.07
6,11.9
7,14.98
8,16.22
9,17.92
10,17.28
11,16.2
12,15.1
13,14.11
14,13.23
15,12.45
16,11.76
17,11.14
18,10.58
